Extraction Index	Sentence Index	DocId	Entity(NP)	Relation	Slotfill(tag)	Sentence
281	8609	APW_ENG_20071120.1117.LDC2009T13	NULL			CARACAS, Venezuela 2007-11-20 18:41:19 UTC
282	20221	NYT_ENG_20081227.0061.LDC2009T13	NULL			'Helene Hanff''s slim volume used to be cherished for its depiction of a vanished era.'
283	8223	APW_ENG_20071015.0723.LDC2009T13	NULL			Apr. 2-8 -- Bausch &amp
284	4729	APW_ENG_20070224.0104.LDC2009T13	NULL			'"We are going to a friend''s house now.'
285	11463	APW_ENG_20080813.0051.LDC2009T13	NULL			Less than two weeks ago, authorities recovered another shank from his cell.
286	20480	XIN_ENG_20070407.0063.LDC2009T13	NULL			Geo reported that the authorities have issued shoot-at-sight order if any one tried to violate curfew.
287	2747	AFP_ENG_20080511.0364.LDC2009T13	NULL			"He pulls back his chin in the air so I felt I could throw a counter right and it worked in the sixth.
289	10444	APW_ENG_20080423.0015.LDC2009T13	NULL			'Tocopilla -- toh-koh-PEE''-yah'
290	18589	NYT_ENG_20080401.0002.LDC2009T13	NULL			'The records came on the eve of a congressional committee appearance by executives from the nation''s five largest oil companies.'
291	15402	NYT_ENG_20070208.0083.LDC2009T13	NULL			Questions should be directed to CoxNet, the Cox News Service, in Atlanta at 404 572-1800 M-F 8 am.-5 p.m. ET.
292	10259	APW_ENG_20080423.0015.LDC2009T13	NULL			'Anucha Browne Sanders -- ah-NOOK''-kah'
293	5034	APW_ENG_20070320.1337.LDC2009T13	NULL			'Both teams and match officials, who all wore black arm-bands, lined up on either side of the pitch to observe a minutes'' silence as a mark of respect for Bob Woolmer.'
294	20747	XIN_ENG_20070818.0166.LDC2009T13	NULL			'The video, apparently shot by sailors based at a naval base in California, has caused one sailor to be "counseled" and the ship''s captain to be called to the Pentagon to review security procedures, according to the San Diego Union-Tribune newspaper.'
296	10072	APW_ENG_20080423.0015.LDC2009T13	NULL			'Hussain Osman -- hoo-SAYN'' AHZ''-muhn'
297	8765	APW_ENG_20071202.0341.LDC2009T13	NULL			The reports could not be independently verified because the areas are remote and inaccessible.
298	4663	APW_ENG_20070221.1461.LDC2009T13	NULL			Now, the fractional edge given to African crude oil suppliers underscores a number of market changes and may grow wider in coming years.
299	11425	APW_ENG_20080813.0002.LDC2009T13	NULL			Monday, Aug. 11
300	3301	AFP_ENG_20080916.0850.LDC2009T13	NULL			'"Barack Obama''s short career as a public servant has been defined by pessimism, defeatism and weakness in the face of the great challenges of our time," he said.'
301	3159	AFP_ENG_20080807.0196.LDC2009T13	NULL			Auction-rate securities, essentially debt instruments issued by financial firms, municipalities and student-loan companies, typically have a fairly lengthy maturity, but the interest rates on such securities can be volatile and change at weekly and monthly auctions overseen by banks.
304	17130	NYT_ENG_20071014.0071.LDC2009T13	NULL			'In the meantime, Johnson came into the race with five victories at Lowe''s and an air of invincibility here.'
305	20032	NYT_ENG_20081212.0159.LDC2009T13	NULL			'"We''re all just going to have to keep on keeping on," Williams said.'
306	18260	NYT_ENG_20080303.0071.LDC2009T13	NULL			Mark Feeney can be reached at mfeeney@globe.com.
307	21171	XIN_ENG_20071211.0110.LDC2009T13	NULL			However, one notable success so far is the agreement on Monday evening on the Adaptation Fund, with the final text being greeted by enthusiastic applause.
308	4536	APW_ENG_20070214.0305.LDC2009T13	NULL			Emelec debuted Argentines players Jeronimo Morales and Cesar Asis, Colombian Sebastian Hernandez, and Paraguayan Israel Rodriguez.
309	836	AFP_ENG_20070425.0672.LDC2009T13	NULL			29/02/2004: Colombo Sri Lanka won by 3 wkts
310	21519	XIN_ENG_20080401.0121.LDC2009T13	NULL			'He concluded by saying that the UN''s efforts in Kosovo are aimed at ensuring that the political and security situation in Kosovo and the wider region remains stable, and that the safety and security of the population are preserved.'
311	1061	AFP_ENG_20070622.0308.LDC2009T13	NULL			Wall Street lower amid Blackstone IPO splash
312	7833	APW_ENG_20070919.0847.LDC2009T13	NULL			'Envoys meet in London on Kosovo''s future'
313	21264	XIN_ENG_20080109.0113.LDC2009T13	NULL			The China Securities Journal also reported people lining up outside futures brokers to open accounts in eastern Zhejiang Province.
314	11951	APW_ENG_20080928.0527.LDC2009T13	NULL			BMW Sauber, 120.
315	6091	APW_ENG_20070427.1076.LDC2009T13	NULL			All three pieces were made in 1975-76 by the well-known Meissen porcelain manufacturer and were specially ordered by the East German parliament.
316	17824	NYT_ENG_20080202.0017.LDC2009T13	NULL			'It''s a notch above this, their Hollywood debut.'
317	3396	AFP_ENG_20081006.0189.LDC2009T13	NULL			a senior defense official said.
318	18936	NYT_ENG_20080516.0037.LDC2009T13	NULL			The Flyers scored on the power play, when Briere swept in the rebound of a slap shot by defenseman Randy Jones at 11:48.
319	11208	APW_ENG_20080810.0857.LDC2009T13	NULL			China allows worship only in officially approved churches such as the one Bush visited Sunday with first lady Laura Bush, so millions of people pray privately in house churches to avoid detection.
320	1502	AFP_ENG_20070913.0346.LDC2009T13	NULL			'German researchers said they measured the size and location of Wednesday''s earthquake off Indonesia within a record five minutes in a development that could mean the difference between life and death for people in the path of a tsunami.'
321	15614	NYT_ENG_20070318.0045.LDC2009T13	NULL			T Champions Classic.
322	9790	APW_ENG_20080403.1144.LDC2009T13	NULL			'Schneider said the producer attempted the interview in the parking lot of Blankenship''s office in eastern Kentucky after unsuccessful attempts to arrange a face to face meeting.'
323	9773	APW_ENG_20080402.1466.LDC2009T13	NULL			It uses its leglike pectoral fins to burrow into cracks and crevices of coral reefs in search of food.
324	20118	NYT_ENG_20081217.0189.LDC2009T13	NULL			When it comes to the private quarters, on the second and third floors, and the Oval Office, though, the decor is the "personal decision of the first family," said Tom Savage, director of museum affairs at Winterthur in Delaware and a member of the Committee for the Preservation of the White House during the Clinton administration.
326	16650	NYT_ENG_20070820.0234.LDC2009T13	NULL			'About 700,000 of Allstate''s 917,000 Texas policyholders are insured by Allstate Texas Lloyds.'
328	12034	APW_ENG_20081005.0146.LDC2009T13	NULL			This is a controlled event," Segovia said.
329	6999	APW_ENG_20070727.0111.LDC2009T13	NULL			The title seems to suggest that it only pertains to children, but actually, it brims with articles of great human interest and originality on topics that range from infancy to grandfatherhood, from the origins of aggression to the mysteries of human resilience.
330	6148	APW_ENG_20070510.1782.LDC2009T13	NULL			During the 1999 Cuban trial of two Salvadorans in the bombings, prosecutors said Posada organized and financed the attacks, recruiting the bombers in Central America and paying about US$4,500 for each mission.
331	14889	LTW_ENG_20081011.0097.LDC2009T13	NULL			"They can run misleading ads.
332	14683	LTW_ENG_20080802.0036.LDC2009T13	NULL			When we get older, we learn to appreciate what we have more."
333	6597	APW_ENG_20070629.0114.LDC2009T13	NULL			'In a classic bit of movie trivia, the little-seen 1986 animated film "Transformers: The Movie" was Orson Welles'' last film.'
334	20600	XIN_ENG_20070512.0155.LDC2009T13	NULL			Police are still interrogating the man.
336	5395	APW_ENG_20070325.0005.LDC2009T13	NULL			'Zaki Badawi -- ZAH''-kee buh-DOW''-ee'
337	6535	APW_ENG_20070615.0816.LDC2009T13	NULL			The awards were presented for the first time in a single ceremony that combined East and West coast winners at the Hollywood &amp
338	10719	APW_ENG_20080522.0213.LDC2009T13	NULL			The two Army generals were set to testify before the Senate Armed Services Committee, giving Democrats a chance to question them on when more troops might come home and whether the U.S. war effort in Iraq has aggravated the violence there.
339	4313	APW_ENG_20070117.1688.LDC2009T13	NULL			'Ban, who took over as U.N. chief on Jan. 1, said the United Nations would, nonetheless, try to increase its role in furthering the International Compact for Iraq, a five-year plan to ensure that Iraq''s government has funds to survive and enact key political and economic reforms.'
340	16967	NYT_ENG_20070919.0124.LDC2009T13	NULL			A woman in a Chicago workplace caused quite a stir recently when she submitted her time sheet.
341	19587	NYT_ENG_20080930.0156.LDC2009T13	NULL			City voters passed term limits by overwhelming margins in 1993, and reaffirmed their support in 1996.
342	14181	LTW_ENG_20080128.0035.LDC2009T13	NULL			'The official Lebanese news agency also reported violent demonstrations in the country''s mostly Shiite south.'
343	2587	AFP_ENG_20080427.0269.LDC2009T13	NULL			'Clarke, who for many years had been a mainstay in Europe''s Ryder Cup team, had watched his world ranking plummet out of the top 50 to 236 at the start of the BMW Asian Open.'
344	1499	AFP_ENG_20070909.0345.LDC2009T13	NULL			The government again defended the price hike in the statement Sunday, saying it was necessary because of high world oil prices that had made fuel subsidies unaffordable.
345	19453	NYT_ENG_20080825.0224.LDC2009T13	NULL			Rick Stroud can be reached at stroudsptimes.com.
346	2362	AFP_ENG_20080327.0122.LDC2009T13	NULL			McCormack said "extremist criminal elements" on Sunday, Tuesday, Wednesday, and again on Thursday fired rockets into the zone that serves as the seat of the Iraqi government and the US embassy.
347	3108	AFP_ENG_20080801.0112.LDC2009T13	NULL			'"We''re in no rush" to have a response "in the next 24 hours."'
348	9381	APW_ENG_20080208.1275.LDC2009T13	NULL			Singles
349	17862	NYT_ENG_20080203.0075.LDC2009T13	NULL			This year, the traditional Nike, Sports Illustrated, ESPN, Maxim and Playboy parties were on tap, with access limited to VIPs and those with plenty of disposable income.
350	20891	XIN_ENG_20071005.0195.LDC2009T13	NULL			More than 3,000 people taming forest fires in northeast China
351	20686	XIN_ENG_20070704.0229.LDC2009T13	NULL			Senior Chinese legislator starts visit to four Latin American nations
352	75	AFP_ENG_20070111.0683.LDC2009T13	NULL			'"If Americans are to be placed in harm''s way, all of us, from every income group and position in society, must share the burden of war," Rangel said.'
353	3867	AFP_ENG_20081217.0760.LDC2009T13	NULL			But having a perfect physique can have its disadvantages.
354	11792	APW_ENG_20080918.0656.LDC2009T13	NULL			TEHRAN, Iran 2008-09-18 13:02:35 UTC
355	53	AFP_ENG_20070104.0235.LDC2009T13	NULL			'"We can never get used to these tragedies," Major Ilmars Lejins told AFP at the church in Riga''s Old Town.'
356	16107	NYT_ENG_20070520.0148.LDC2009T13	NULL			In Gaza City, schools, stores and businesses reopened Sunday and people resumed their lives after a week of self-imposed curfew because of the clashes.
357	9601	APW_ENG_20080302.0793.LDC2009T13	NULL			-- determines domestic and foreign policy
358	11742	APW_ENG_20080918.0478.LDC2009T13	NULL			Authorities established a maze of roadblocks and checkpoints and continuously changed traffic patterns in Colombo in an effort to prevent new attacks.
359	10603	APW_ENG_20080423.0015.LDC2009T13	NULL			'Abu Zubaydah -- ah-BOO'' zoo-BY''-dah'
360	17309	NYT_ENG_20071205.0169.LDC2009T13	NULL			amp
362	711	AFP_ENG_20070407.0309.LDC2009T13	NULL			Israeli Arab kidnapped in Gaza
363	3933	AFP_ENG_20081222.0022.LDC2009T13	NULL			US retailers were also struggling "amid fears that steep discounts have been used to entice consumer spending, and that cold and snowy weather in many markets weighed down holiday spending," Schwab &amp
364	4296	APW_ENG_20070114.0760.LDC2009T13	NULL			ATHENS, Greece 2007-01-14 19:38:55 UTC
365	11032	APW_ENG_20080730.0965.LDC2009T13	NULL			FRANKFURT, Germany 2008-07-30 16:47:22 UTC
366	2115	AFP_ENG_20080130.0403.LDC2009T13	NULL			Boeing said its total company backlog as of December 31 stood at 327 billion dollars, up 31 percent year-over-year, because of commercial airplane orders and defense program wins.
367	1498	AFP_ENG_20070909.0345.LDC2009T13	NULL			Amnesty International estimates that more than 150 people have been arrested over the protests, which were sparked by a massive hike in fuel prices last month.
368	7315	APW_ENG_20070820.0711.LDC2009T13	NULL			As the summit approached, Calderon was considering cutting his trip short to return to Mexico, where Hurricane Dean was poised to slam into the coastline.
369	2643	AFP_ENG_20080429.0359.LDC2009T13	NULL			A local official denied there was any cover-up at his level, saying the incident had been reported to higher authorities.
370	9093	APW_ENG_20080112.0203.LDC2009T13	NULL			He has been accused of overseeing a purge of more than a half-million leftist opponents soon after seizing power in a 1965 coup.
371	4716	APW_ENG_20070223.1663.LDC2009T13	NULL			'Kann, who is 64, had previously also served as the company''s chief executive from 1991 until Feb. 1 of last year, when he was succeeded by Richard Zannino.'
372	18020	NYT_ENG_20080218.0136.LDC2009T13	NULL			Miller likes working with vintage pieces because he gets to see work from other eras and other cultures.
373	3754	AFP_ENG_20081210.0089.LDC2009T13	NULL			US government approval will be needed to allow Cuban players into US venues because of their diplomatic disagreements.
374	10883	APW_ENG_20080716.1245.LDC2009T13	NULL			'The whole mentality is ''Get out of my way.''"'
375	16441	NYT_ENG_20070625.0073.LDC2009T13	NULL			That was the battle line."
376	15331	NYT_ENG_20070208.0083.LDC2009T13	NULL			The blog keeps a weekly tally on how much DM management racks up in potential legal judgments.
378	2035	AFP_ENG_20080117.0307.LDC2009T13	NULL			'A few strains showed through on Wednesday''s tour, as when two workmen admitted to nervousness while "painting" and "repainting" a ceiling.'
379	14157	LTW_ENG_20080128.0035.LDC2009T13	NULL			At least seven civilians were killed Sunday evening during an hourslong clash between Lebanese soldiers and young Shiite Muslim men protesting electricity cuts, security officials said.
380	9867	APW_ENG_20080408.1488.LDC2009T13	NULL			Earlier this year, the department recalled 143 million pounds of meat from Westland/Hallmark Meat Co. in Chino, California, following an undercover video by the Humane Society of the United States that showed slaughterhouse workers abusing "downer" cattle -- those too sick or injured to stand.
381	15321	NYT_ENG_20070208.0083.LDC2009T13	NULL			WITH
382	7118	APW_ENG_20070805.0576.LDC2009T13	NULL			They are dying every day."
384	15899	NYT_ENG_20070410.0095.LDC2009T13	NULL			'Many young athletes don''t eat much during the day and therefore are starving at night.'
385	1248	AFP_ENG_20070805.5002.LDC2009T13	NULL			"In the first half I remember our backs taking their guys on in the middle of the field one-on-one and making clean line breaks which we should have finished off.
386	4741	APW_ENG_20070224.0104.LDC2009T13	NULL			He said the army had been considering a controlled explosion to clear the pipe, which carries both rainwater and sewage for much of the capital.
387	5454	APW_ENG_20070325.0005.LDC2009T13	NULL			'Beslan -- bez-LAHN'''
388	15627	NYT_ENG_20070318.0045.LDC2009T13	NULL			Five others -- including Loren Roberts, Jim Thorpe and Gil Morgan -- are tied for fourth two shots back and 14players are within three shots of the lead.
389	21913	XIN_ENG_20080903.0351.LDC2009T13	NULL			Wen thanked them for lending a hand to quake survivors.
390	11938	APW_ENG_20080928.0527.LDC2009T13	NULL			8
391	787	AFP_ENG_20070418.0217.LDC2009T13	NULL			But Israel "has to be always ready for the worst so as not be taken by surprise as was the case in 1973" when Israeli leaders were unprepared for a coordinated attack from Syria and Egypt, Hanegbi said.
392	16767	NYT_ENG_20070824.0204.LDC2009T13	NULL			Federer wore a white blazer with the "RF" crest at Wimbledon, where he has won five straight titles.
393	2094	AFP_ENG_20080123.0501.LDC2009T13	NULL			URGENT ¥¥¥ French FM to travel to Rwanda: ministry
394	15720	NYT_ENG_20070401.0013.LDC2009T13	NULL			Someone else adds a funny thought.
395	7526	APW_ENG_20070907.0177.LDC2009T13	NULL			Analysts noted that al-Qaida tends to mark the Sept. 11 anniversary with a slew of messages, and the U.S. Department of Homeland Security said Thursday it had no credible information warning of an imminent threat to the United States.
396	7017	APW_ENG_20070731.0993.LDC2009T13	NULL			PARIS 2007-07-31 16:04:26 UTC
397	22244	XIN_ENG_20081210.0194.LDC2009T13	NULL			'According to a new report by World Growth, China pledged in 2006 to expand the country''s forest area to 20 percent of total land by 2010, which would increase the size of China''s total carbon sink by 50 million tons of carbon dioxide -- roughly enough to offset the emissions of the entire country of Sweden for a whole year.'
398	21989	XIN_ENG_20080923.0198.LDC2009T13	NULL			'The facility was aimed to remedy the situation of inter-bank deposits in the UAE, which has been affected by the liquidity constraints in international money markets, said a statement posted on the bank''s website.'
399	5680	APW_ENG_20070325.0151.LDC2009T13	NULL			At Philadelphia, Andy Hilbert scored the decisive goal for the Islanders with less than 5 minutes remaining.
401	10025	APW_ENG_20080423.0015.LDC2009T13	NULL			'El Nino -- el NEEN''-yoh'
403	13055	LTW_ENG_20070126.0127.LDC2009T13	NULL			U.S. District Judge Reggie Walton warned the defense that Libby would have to take the stand if he wanted to try to persuade the jury that his own memory was flawed.
404	8909	APW_ENG_20071220.0775.LDC2009T13	NULL			Slovenia was once part of Yugoslavia, a country whose breakup in the 1990s triggered wars, genocide, hatred and suffering.
405	19910	NYT_ENG_20081118.0192.LDC2009T13	NULL			Two other Senate seats, in Minnesota and Georgia, have yet to be decided as well.
406	4785	APW_ENG_20070225.0071.LDC2009T13	NULL			West was one of them.
407	17404	NYT_ENG_20071228.0212.LDC2009T13	NULL			But because of her failing liver, doctors recommended a transplant.
408	21808	XIN_ENG_20080805.0276.LDC2009T13	NULL			South Korea hosted the 1988 Olympic Games in Seoul, the capital, and finishing with its best Olympic haul to 33 medals, including 12 golds.
409	12424	APW_ENG_20081112.0142.LDC2009T13	NULL			Men
410	20381	XIN_ENG_20070206.0133.LDC2009T13	NULL			Zhejiang, a booming province in east China, notched up 139 billion U.S. dollars in foreign trade last year, year-on-year growth of 30 percent.
411	8437	APW_ENG_20071101.1217.LDC2009T13	NULL			"We deeply regret that Martina Hingis ended her outstanding career under the circumstances of such accusations."
412	2442	AFP_ENG_20080408.0078.LDC2009T13	NULL			Troubled bank Washington Mutual (WaMu) meanwhile said it was raising new funds through the sale of equity securities to TPG Capital, a US private equity firm, and other investors.
415	6476	APW_ENG_20070613.1615.LDC2009T13	NULL			'"I''m not sure which I prefer.'
416	8953	APW_ENG_20071221.0554.LDC2009T13	NULL			That is our principal mandate."
417	2390	AFP_ENG_20080401.0679.LDC2009T13	NULL			'The Chicago index, a measure of business activity in the US Midwest and considered a precursor to the Institute for Supply Management''s manufacturing survey, rose to 48.2 in March from 44.5 a month earlier, beating expectations.'
418	2761	AFP_ENG_20080511.0364.LDC2009T13	NULL			I was sloppy though and just couldn’t get my timing right.
419	16653	NYT_ENG_20070820.0234.LDC2009T13	NULL			The range of rates coastal residents will pay was not available, he said.
420	18895	NYT_ENG_20080511.0078.LDC2009T13	NULL			Pierce and Allen have not been the same players they were during the regular season.
421	21662	XIN_ENG_20080518.0007.LDC2009T13	NULL			SHARM EL SHEIKH, Egypt, May 18 (Xinhua)
422	2258	AFP_ENG_20080309.0384.LDC2009T13	NULL			Pakistan nuclear expert home from hospital: report
423	6736	APW_ENG_20070705.1382.LDC2009T13	NULL			After playing with the U.S. Coast Guard band at Ellis Island during World War II, he toured with clarinetist Jimmy Dorsey and his orchestra.
424	2655	AFP_ENG_20080430.0252.LDC2009T13	NULL			"There are things to negotiate," Umberto Bossi told lawmakers, according to the ANSA news agency.
425	7935	APW_ENG_20070919.1310.LDC2009T13	NULL			Extras: (7lb, 10w, 1nb) 18
426	14190	LTW_ENG_20080215.0053.LDC2009T13	NULL			Thirteen white-clad relatives of Dam Lam, 87, formed a circle, each cradling a stack of paper models: a foot-long 747 jetliner, a black-and-gold car sitting in the courtyard of a 2-foot-tall, red-tiled paper mansion.
427	19173	NYT_ENG_20080721.0096.LDC2009T13	NULL			'"And that''s really where the whole secret to successful medical care lies."'
428	17489	NYT_ENG_20080107.0181.LDC2009T13	NULL			Iowa winner Mike Huckabee is an also-ran in New Hampshire, where Romney and McCain are battling in a close race.
429	21106	XIN_ENG_20071202.0018.LDC2009T13	NULL			At least two persons were killed and 40 others were injured when a passenger bus bound for Kilchowk from Gorkha fell down 100 meter below the road in Tanahun district in western Nepal on Saturday night, THT Online reported on Sunday.
430	2040	AFP_ENG_20080117.0307.LDC2009T13	NULL			.... So.
431	15020	NYT_ENG_20000216.0440.LDC2007T07	NULL			The company has also supplied the turfgrass-grounding for many major league athletic facilities, and its product was even used by White House landscapers.
432	196	AFP_ENG_20070202.0386.LDC2009T13	NULL			'British broadcaster pulls sex shows after ''Bullywood'' furore'
433	12244	APW_ENG_20081023.1359.LDC2009T13	NULL			The former Bush administration official said he wanted to support the candidate that has the best chance for changing the way Washington works and getting things done.
434	16197	NYT_ENG_20070602.0129.LDC2009T13	NULL			Shark cartilage, a widely used alternative therapy for cancer, did not help patients with lung cancer live longer, according to the results of one of the first rigorous studies of the approach.
435	4404	APW_ENG_20070129.1041.LDC2009T13	NULL			Plans to draw the line on what is considered unacceptable behavior in hospitals, carrying risks for patients, were first raised three years ago during the debate over Muslim head scarves.
436	2652	AFP_ENG_20080429.0359.LDC2009T13	NULL			It appeared to have originated in southern China, then spread globally to infect more than 8,000 people and kill around 800 worldwide, including 349 in China.
437	18226	NYT_ENG_20080303.0071.LDC2009T13	NULL			'"Writing the script, I was a bit afraid that my audience would love Burger because he''s so heroic and has the right ideals and is the one who stands up against the Nazis.'
438	16181	NYT_ENG_20070602.0004.LDC2009T13	NULL			'"I sensed from our conversation it won''t happen again," Torre said.'
439	13097	LTW_ENG_20070301.0125.LDC2009T13	NULL			Appearing in a live webcast, the Most Rev. Katharine Jefferts Schori acknowledged that the church, the American wing of the global Anglican Communion, risks losing its place and voice in that fellowship if it does not comply with demands from Anglican leaders that it bar official blessings for same-sex couples and take other actions.
440	17968	NYT_ENG_20080212.0010.LDC2009T13	NULL			His parents have already put up their house as collateral for $120,000 bail after he was released from the Hillsborough County Jail on Feb. 2, he said.
441	8034	APW_ENG_20070924.1107.LDC2009T13	NULL			'I don''t know who''s told you that we have this."'
442	3661	AFP_ENG_20081118.0662.LDC2009T13	NULL			'But both were laid off last month, joining the swelling ranks of Chinese workers cut adrift by the crisis, and who now pose a looming stability problem for China''s leaders.'
444	6739	APW_ENG_20070705.1382.LDC2009T13	NULL			"Nobody played violin like him," said his son.
445	9126	APW_ENG_20080112.0749.LDC2009T13	NULL			South Africa takes series 2-1 with innings win against West Indies in 3rd test
446	6110	APW_ENG_20070501.1427.LDC2009T13	NULL			'The deal makes the Gospel Music Channel available in America''s 10 largest markets, and it expects to finish the year with more than 20 million subscribers, the network said.'
447	14297	LTW_ENG_20080307.0008.LDC2009T13	NULL			Virginia Left Behind: Opting Out of No Child Left Behind Would Be a Costly Mistake
448	7623	APW_ENG_20070908.0481.LDC2009T13	NULL			Car bomb at a barracks in Algeria kills at least 17, injures 30
449	11342	APW_ENG_20080813.0002.LDC2009T13	NULL			--
450	4523	APW_ENG_20070212.1205.LDC2009T13	NULL			The guards returned fire, seized the vehicle and detained the two men, the statement said.
451	15447	NYT_ENG_20070222.0015.LDC2009T13	NULL			'To be fair, federal officials say, it''s not just energy-efficient autos that are sucking the fund dry.'
452	10530	APW_ENG_20080423.0015.LDC2009T13	NULL			Wen Jiabao -- win jah-bow
453	20052	NYT_ENG_20081215.0241.LDC2009T13	NULL			In June, the Princess of the Stars, a passenger ship with 850 passengers and crew, sank in the central Philippines after being lashed by a typhoon.
454	1900	AFP_ENG_20071214.0109.LDC2009T13	NULL			Delegates said one key sticking point was a US-led call on developing countries to commit to slashing carbon emissions.
455	9655	APW_ENG_20080306.0239.LDC2009T13	NULL			Lily turns to a "cult church" and drags April along to knock on doors on Saturday mornings.
456	868	AFP_ENG_20070426.0570.LDC2009T13	NULL			Unknown Spaniard Oscar Hernandez, who has played just eight career matches off of the clay, upset sixth seed Jarkko Nieminen 6-1, 6-7 (6/8), 6-3 with the frustrated Finn missing on 17 or 19 break chances, including six in the marathon final game.
457	5637	APW_ENG_20070325.0005.LDC2009T13	NULL			'Jan Egeland -- yahn EHG''-lahnd'
458	3212	AFP_ENG_20080816.0188.LDC2009T13	NULL			Turkish foreign ministry officials were not available for comment.
459	14862	LTW_ENG_20080929.0015.LDC2009T13	NULL			In a scene that seemed cut from czarist times, Russian navy officials and Orthodox priests sat at a long table, knocking back shots of vodka and proclaiming emotional toasts.
460	5697	APW_ENG_20070325.0151.LDC2009T13	NULL			At Raleigh, North Carolina, Cam Ward made the most of his first start in goal in nearly two weeks and Andrew Ladd scored twice, helping Carolina beat San Jose.
461	6940	APW_ENG_20070717.0848.LDC2009T13	NULL			"The arrest and prosecution by U.S. law enforcement of a small number of violent Islamic extremists inside the United States ... points to the possibility that others may become sufficiently radicalized that they will view the use of violence here as legitimate," the estimate said.
462	4286	APW_ENG_20070113.0514.LDC2009T13	NULL			Further epidemic prevention procedures, including sterilization of the farm, are also under way, he added.
463	4107	APW_ENG_20070105.0655.LDC2009T13	NULL			shears
464	13539	LTW_ENG_20070807.0103.LDC2009T13	NULL			'If it were me, I''d fight having wall-to-wall carpeting installed a second time.'
465	16956	NYT_ENG_20070917.0130.LDC2009T13	NULL			'"I hate to take out the money, but I just don''t want to risk anything," she said, adding that she did not yet know what she would do with it.'
466	15638	NYT_ENG_20070318.0045.LDC2009T13	NULL			Bean hopes they can both put their best golf on display.
467	8478	APW_ENG_20071110.0815.LDC2009T13	NULL			Andrei Markov scored his fifth goal of the season on a power play 11:11 in and the Canadiens nearly made it stand.
468	2485	AFP_ENG_20080418.0285.LDC2009T13	NULL			'Iraqi troops were in a tense standoff with radical Shiite cleric Moqtada al- Sadr''s supporters on Friday after they surrounded an office block occupied by the group in the southern city of Basra.The move was blasted by Sadr''s supporters as a "provocation" but the Iraqi government said the operation only aimed to recover offices unfairly occupied by political groups.'
471	8217	APW_ENG_20071015.0723.LDC2009T13	NULL			3 -- Qatar Total Open, HO (Justine Henin)
472	6564	APW_ENG_20070623.0029.LDC2009T13	NULL			'Hamadeh, a leading anti-Syrian politician, said that while all pro-government groups had agreed to Moussa''s three-point proposal to resume dialogue, the opposition rejected it.'
473	7003	APW_ENG_20070727.0111.LDC2009T13	NULL			Research Studies
474	15837	NYT_ENG_20070410.0048.LDC2009T13	NULL			Kemp has been off to a solid start, but in the fourth inning he chased a drive by Jeff Baker to the wall in right.
475	20449	XIN_ENG_20070313.0267.LDC2009T13	NULL			Over 300 terrorist attacks averted last year in Russia: official
477	6915	APW_ENG_20070717.0848.LDC2009T13	NULL			"Of note," the analysts said, "we assess that al-Qaida will probably seek to leverage the contacts and capabilities of al- Qaida in Iraq (AQI), its most visible and capable affiliate and the only one known to have expressed a desire to attack the homeland."
479	7327	APW_ENG_20070820.0711.LDC2009T13	NULL			Bush will meet privately with Calderon at Fairmont Le Chateau Montebello, a small summer retreat on the banks of the Ottawa river.
480	15378	NYT_ENG_20070208.0083.LDC2009T13	NULL			SIN-EATER-REVIEW -- WEST PALM BEACH, Fla. -- The latest entry from Fox Faith films manages to sustain some suspense under the direction of Michael Landon Jr. (Erstein, Palm Beach Post).
481	3560	AFP_ENG_20081028.0065.LDC2009T13	NULL			"Frankfurt will be much more difficult than Wolfsburg - it will be a battle against them," said Klinsmann.
482	17093	NYT_ENG_20071013.0017.LDC2009T13	NULL			'He''s just unable to go 100 percent," coach Jon Gruden said Friday.'
483	11845	APW_ENG_20080923.0468.LDC2009T13	NULL			'Protesters sailed to Gaza last month to protest Israel''s yearlong blockade of Gaza imposed after the Islamic militant group Hamas overran the territory.'
484	1563	AFP_ENG_20070922.0379.LDC2009T13	NULL			New Zealand 108 Portugal 13
485	14505	LTW_ENG_20080430.0024.LDC2009T13	NULL			'"It''s a joy to make a difference in the life of the growers," said Mergoum, who worked earlier in the international program that developed higher-yielding "green revolution" wheats.'
486	7553	APW_ENG_20070907.0177.LDC2009T13	NULL			That absence sparked widespread speculation he was ill, wounded or possibly dead.
488	19589	NYT_ENG_20080930.0156.LDC2009T13	NULL			"Democracy," he added, "is bigger than any one person."
489	16844	NYT_ENG_20070907.0024.LDC2009T13	NULL			Before the proceeding closed, Wuterich read a nine-page statement to Ware, who will advise a Marine general whether sufficient evidence exists to forward the charges to a court-martial.
490	8464	APW_ENG_20071104.0155.LDC2009T13	NULL			They maintain diplomatic and economic sanctions against the regime, and block assistance from multilateral aid agencies such as the World Bank.
491	22174	XIN_ENG_20081118.0271.LDC2009T13	NULL			Eight managed to escape.
493	10618	APW_ENG_20080430.0993.LDC2009T13	NULL			The collection includes pieces made by Native American craftsmen in El Salvador, Guatemala, Panama, Peru and Colombia in addition to Costa Rica.
494	9017	APW_ENG_20071230.0022.LDC2009T13	NULL			Several hours before the tape was issued, the top U.S. commander in Iraq, Gen. David Petraeus, said al-Qaida was becoming increasingly fearful of losing the support of Sunni Arabs and had begun targeting the leaders of the Awakening Councils.
